code_TD,iso3,fe,distw,contig,comlang_off,control_of_corruption,gdp,rule_of_law,exp_cost,inputs_rounded,firm_count_rounded
"1000","USA",0,1.853802,0,0,1.2923656,1.45e+13,1.6012878,960,391301,250300
"1220","CAN",-4.777016,2.079297,1,1,1.9878259,1.42e+12,1.7914835,1435,14574,37800
"2010","MEX",-4.746775,2.468405,1,0,-.25366593,1.04e+12,-.53131025,1302,12598,7800
"2050","GTM",-5.610203,2.999736,0,0,-.67652702,3.41e+10,-1.1596801,1052,93,300
"2110","SLV",-6.241248,3.10668,0,0,-.29360565,2.01e+10,-.64662707,540,137,200
"2150","HND",-6.245731,3.0029,0,0,-.69694016,1.23e+10,-.92790721,1065,250,400
"2230","CRI",-6.502254,3.556189,0,0,.39730784,2.63e+10,.32170799,1065,241,600
"2250","PAN",-8.050913,3.774604,0,0,-.35405472,1.98e+10,-.20655029,450,8,200
"2470","DOM",-6.506161,3.310567,0,0,-.68344549,4.13e+10,-.58174069,815,242,700
"2740","TTO",-8.114744,4.540549,0,1,-.24615197,2.17e+10,-.22699864,693,94,200
"3010","COL",-6.751106,4.251359,0,0,-.18594772,2.08e+11,-.47544866,1540,121,700
"3070","VEN",-7.168898,4.204499,0,0,-1.0257162,2.30e+11,-1.5261643,2400,241,300
"3310","ECU",-7.477465,4.833328,0,0,-.86221202,5.10e+10,-1.0758003,1200,46,300
"3330","PER",-5.7963,5.913182,0,0,-.25701009,1.07e+11,-.80209035,575,139,500
"3370","CHL",-6.455458,8.338667,0,0,1.336148,1.73e+11,1.2459718,645,320,700
"3510","BRA",-5.614316,8.088514,0,0,-.11448471,1.37e+12,-.43779552,825,1054,2800
"3570","ARG",-6.441556,8.678352,0,0,-.39404347,2.61e+11,-.59779858,1325,131,1000
"4010","SWE",-6.405707,7.440511,0,0,2.2495312,4.63e+11,1.8942158,581,892,2900
"4039","NOR",-6.675338,7.056674,0,0,1.9549097,3.93e+11,1.9429721,668,210,900
"4050","FIN",-6.676168,7.66773,0,0,2.4917436,2.46e+11,1.9062162,470,290,1300
"4099","DNK",-6.71926,7.410588,0,0,2.5146909,3.11e+11,2.0141958,653,429,2100
"4120","GBR",-5.483855,6.878493,0,1,1.7245867,2.86e+12,1.6956762,990,3075,11500
"4190","IRL",-6.615845,6.515071,0,1,1.7480976,2.60e+11,1.7747003,1090,2665,1400
"4210","NLD",-6.127269,7.281814,0,0,2.2185375,7.83e+11,1.77681,910,997,3900
"4231","BEL",-6.331464,7.302655,0,0,1.296316,4.60e+11,1.3087555,1221,691,2800
"4239","LUX",-8.218557,7.478872,0,0,2.0159412,5.13e+10,1.7621964,1250,39,200
"4279","FRA",-5.676527,7.456767,0,0,1.4433464,2.58e+12,1.411364,1235,2298,6100
"4280","DEU",-5.072892,7.595452,0,0,1.7047398,3.32e+12,1.7249017,770,6293,13000
