code_TD,iso3,fe,firm_count_rounded,inputs_rounded,distw,contig,comlang_off,control_of_corruption,gdp,rule_of_law,rpshare,exp_cost,intserv
1000,USA,0,250300,391301,1.853802,0,0,1.292366,14500000000000,1.601288,1,960,1061.762
1220,CAN,-4.777016,37800,14574,2.079297,1,1,1.987826,1420000000000,1.791484,0.5214232,1435,813.5748
2010,MEX,-4.746775,7800,12598,2.468405,1,0,-0.2536659,1040000000000,-0.5313103,0.5805008,1302,12.36679
2050,GTM,-5.610203,300,93,2.999736,0,0,-0.676527,34100000000,-1.15968,0.2019172,1052,6.90798
2110,SLV,-6.241248,200,137,3.10668,0,0,-0.2936057,20100000000,-0.6466271,0.4493185,540,8.655955
2150,HND,-6.245731,400,250,3.0029,0,0,-0.6969402,12300000000,-0.9279072,0.5787916,1065,4.736408
2230,CRI,-6.502254,600,241,3.556189,0,0,0.3973078,26300000000,0.321708,0.6547332,1065,90.51749
2250,PAN,-8.050913,200,8,3.774604,0,0,-0.3540547,19800000000,-0.2065503,0.0545256,450,73.9036
2470,DOM,-6.506161,700,242,3.310567,0,0,-0.6834455,41300000000,-0.5817407,0.6013675,815,10.08839
2740,TTO,-8.114744,200,94,4.540549,0,1,-0.246152,21700000000,-0.2269986,0.4151448,693,41.98345
3010,COL,-6.751106,700,121,4.251359,0,0,-0.1859477,208000000000,-0.4754487,0.157436,1540,7.955344
3070,VEN,-7.168898,300,241,4.204499,0,0,-1.025716,230000000000,-1.526164,0.4236555,2400,6.183121
3310,ECU,-7.477465,300,46,4.833328,0,0,-0.862212,51000000000,-1.0758,0.0964514,1200,6.798241
3330,PER,-5.7963,500,139,5.913182,0,0,-0.2570101,107000000000,-0.8020903,0.1117257,575,8.577961
3370,CHL,-6.455458,700,320,8.338667,0,0,1.336148,173000000000,1.245972,0.1658227,645,28.91614
3510,BRA,-5.614316,2800,1054,8.088514,0,0,-0.1144847,1370000000000,-0.4377955,0.3457452,825,20.30032
3570,ARG,-6.441556,1000,131,8.678352,0,0,-0.3940435,261000000000,-0.5977986,0.2766304,1325,15.63638
4010,SWE,-6.405707,2900,892,7.440511,0,0,2.249531,463000000000,1.894216,0.7473508,581,600.6717
4039,NOR,-6.675338,900,210,7.056674,0,0,1.95491,393000000000,1.942972,0.4522732,668,621.9802
4050,FIN,-6.676168,1300,290,7.66773,0,0,2.491744,246000000000,1.906216,0.6097028,470,542.8535
4099,DNK,-6.71926,2100,429,7.410588,0,0,2.514691,311000000000,2.014196,0.6827629,653,805.0993
4120,GBR,-5.483855,11500,3075,6.878493,0,1,1.724587,2860000000000,1.695676,0.5909765,990,754.4438
4190,IRL,-6.615845,1400,2665,6.515071,0,1,1.748098,260000000000,1.7747,0.8940203,1090,552.6826
